Name,A/L_Subjects,Your_choise,Parent_Income,District,City,Degree_University,University_City
Vamsi_Viswanadha,Maths,Computing,100000,Colombo,Malabe,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),malabe
indu1234,Science,Computing,200000,Matara,Matara,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),wellawatta
daqo,Arts,Computing,150000,Colombo,Rathmalana,Computer Science - General Sir John Kotelawala Defence University,rathmalana
kuchhal.dk,Maths,Engineering,90000,Colombo,Kaduwela,Mechanical Engineering - Sri Lanka Institute of Information Technology(SLIIT),malabe
navyatha,Maths,Engineering,175000,Galle,Galle,Civil Engineering - General Sir John Kotelawala Defence University,rathmalana
saikrish91,Maths,Engineering,200000,Colombo,Rathmalana,Civil Engineering - General Sir John Kotelawala Defence University,rathmalana
Sum1991,Maths,Engineering,250000,Colombo,Wellawatta,Materials Engineering - Sri Lanka Institute of Information Technology(SLIIT),malabe
Sweta_4488,Maths,Engineering,200000,Colombo,Moratuwa,Electrical & Electronic Engineering - General Sir John Kotelawala Defence University,rathmalana
gupi_bagha,Maths,Engineering,150000,Colombo,Moratuwa,Electrical & Electronic Engineering - General Sir John Kotelawala Defence University,rathmalana
Karthik bm,Maths,Computing,150000,Colombo,Moratuwa,Computer Science - General Sir John Kotelawala Defence University,rathmalana
sabarish.raghu,Maths,Computing,150000,Kalutara,Panadura,Software Engineering - General Sir John Kotelawala Defence University,rathmalana
niks17,Maths,Engineering,175000,Colombo,Malabe,Materials Engineering - Sri Lanka Institute of Information Technology(SLIIT),malabe
doineo,Maths,Engineering,175000,Gampaha,Nittambuwa,Electrical & Electronic Engineering - Sri Lanka Institute of Information Technology(SLIIT),malabe
Gorya951,Maths,Engineering,175000,Gampaha,Kadawatha,Civil Engineering - Sri Lanka Institute of Information Technology(SLIIT),malabe
saieesh9000,Maths,Engineering,125000,Gampaha,Kiribathgoda,Materials Engineering - Sri Lanka Institute of Information Technology(SLIIT),malabe
acreddy,Maths,Computing,125000,Kandy,Kandy,Information Technology - Horizon Campus,kandy
akshay_akki,Maths,Computing,125000,Gampaha,Negombo,Data Science - Sri Lanka Institute of Information Technology(SLIIT),malabe
kdilip,Maths,Engineering,100000,Kandy,Kandy,Computer System Engineering - NSBM Green University,homagama
YoungWolf,Science,Humanities & Science,100000,Kandy,Kandy,Physical Science - Horizon Campus,malabe
kanchan.k,Science,Computing,100000,Matara,Matara,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),matara
soujanya.aithal,Science,Humanities & Science,100000,Matara,Matara,Nursing - General Sir John Kotelawala Defence University,rathmalana
vasanth547,Science,Humanities & Science,100000,Matara,Matara,Biological Science - Sri Lanka Institute of Information Technology(SLIIT),malabe
snu91,Commerce,Business,90000,Matara,Matara,Accounting & Finance - Sri Lanka Institute of Information Technology(SLIIT),malabe
nmnilu6,Commerce,Business,200000,Matara,Matara,Business Management - Sri Lanka Institute of Information Technology(SLIIT),matara
MS_fall11,Commerce,Business,200000,Gampaha,Kiribathgoda,Business Management - Sri Lanka Institute of Information Technology(SLIIT),malabe
vnavgre,Commerce,Business,200000,Gampaha,Kiribathgoda,Accounting & Finance - Sri Lanka Institute of Information Technology(SLIIT),malabe
shanky0300,Commerce,Computing,100000,Gampaha,Kiribathgoda,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),malabe
pbsureja,Commerce,Computing,95000,Galle,Galle,Information Technology - General Sir John Kotelawala Defence University,rathmalana
ramaditya,Commerce,Business,125000,Hambantota,Hambantota,HR Management - NSBM Green University,homagama
achalarvind,Commerce,Business,125000,Hambantota,Hambantota,Marketing management - NSBM Green University,homagama
ari_cooldude,Commerce,Business,125000,Hambantota,Hambantota,HR Management - NSBM Green University,homagama
mayuri90,Arts,Business,125000,Colombo,Malabe,Business Management - Sri Lanka Institute of Information Technology(SLIIT),malabe
sadhuvinay,Arts,Computing,125000,Kalutara,Panadura,Software Technology - University of Vocational Technology Ratmalana,rathmalana
imgoku,Arts,Business,125000,Colombo,Koswatta,Accounting & Finance - Sri Lanka Institute of Information Technology(SLIIT),malabe
milin1234,Arts,Business,150000,Colombo,Kottawa,HR Management - NSBM Green University,homagama
mtalhaawais,Arts,Computing,150000,Kalutara,Moratuwa,Software Technology - University of Vocational Technology Ratmalana,rathmalana
neokao227,Technology,Business,150000,Colombo,Rathmalana,Logistics Management - General Sir John Kotelawala Defence University,rathmalana
ChaiW,Technology,Computing,150000,Colombo,Kottawa,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
NewUser15,Technology,Computing,150000,Colombo,Kottawa,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
wolverine lll,Technology,Computing,150000,Colombo,Thalawathugoda,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
V.Neeharika,Maths,Computing,150000,Colombo,Rathmalana,Computer Science - Informatics Institute of Technology Sri Lanka(IIT),
sachidanandaks,Maths,Engineering,150000,Kalutara,Panadura,Civil Engineering - General Sir John Kotelawala Defence University,
monsterhimself,Maths,Engineering,150000,Colombo,Kottawa,Civil Engineering - General Sir John Kotelawala Defence University,
shanki23.18,Maths,Engineering,150000,Colombo,Koswatta,Mechanical Engineering - Sri Lanka Institute of Information Technology(SLIIT),
aditya18,Maths,Engineering,175000,Colombo,Homagama,Electrical & Electronic Engineering - NSBM Green University,
kravi88,Maths,Engineering,175000,Colombo,Kottawa,Electrical & Electronic Engineering - NSBM Green University,
marcvaz,Science,Humanities & Science,175000,Colombo,Moratuwa,Physiotherapy - General Sir John Kotelawala Defence University,
mclint,Science,Humanities & Science,300000,Colombo,Thalawathugoda,Biological Science - Sri Lanka Institute of Information Technology(SLIIT),
pmaheshwari,Science,Humanities & Science,250000,Colombo,Rathmalana,Quantity Surveying - University of Vocational Technology Ratmalana,
jayvastani,Science,Computing,250000,Colombo,Kottawa,Computer Science - Informatics Institute of Technology Sri Lanka(IIT),
ashputtle,Arts,Computing,100000,Colombo,Moratuwa,Data Science - General Sir John Kotelawala Defence University,
pratheba,Arts,Business,100000,Colombo,Koswatta,Logistics Management - Sri Lanka Institute of Information Technology(SLIIT),
krthk,Arts,Business,100000,Colombo,Homagama,HR Management - NSBM Green University,
sitalkedia,Science,Agriculture,100000,Colombo,Rathmalana,Agriculture Biology - Postgraduate Institute of Agriculture University of Peradeniya,
@erobo9,Maths,Architecture,100000,Colombo,Homagama,Architects - Sri Lanka Institute of Architects,
rnadts,Maths,Architecture,175000,Colombo,Dehiwala,Architects - Sri Lanka Institute of Architects,
bganapathi,Maths,Architecture,175000,Galle,Hikkaduwa,Architects - Sri Lanka Institute of Architects,
kjsanjay,Maths,Engineering,90000,Galle,Galle,Civil Engineering - General Sir John Kotelawala Defence University,
sayalimpol,Maths,Computing,120000,Galle,Galle,Data Science - General Sir John Kotelawala Defence University,
dreamzz,Arts,Business,120000,Gampaha,Negombo,Business Analytics - Sri Lanka Institute of Information Technology(SLIIT),
peekay,Arts,Business,120000,Galle,Galle,Management Information System - Sri Lanka Institute of Information Technology(SLIIT),
guruguha,Arts,Business,140000,Matara,Matara,Quality Management - Sri Lanka Institute of Information Technology(SLIIT),
anuj.rakani,Arts,Music & Drama,150000,Colombo,Avissawella,Music - university of visual and performing arts,
gokulsjce,Arts,Business,150000,Gampaha,Kelaniya,Management Information System - Sri Lanka Institute of Information Technology(SLIIT),
icecool15,Arts,Music & Drama,150000,Matara,Matara,Music - university of visual and performing arts,
arindam.1993,Science,Business,180000,Gampaha,Wattala,Quality Management - Sri Lanka Institute of Information Technology(SLIIT),
abhijitmaleth,Arts,Music & Drama,180000,Colombo,Avissawella,Visual Arts - university of visual and performing arts,
timoshenko,Science,Engineering,180000,Gampaha,Negombo,Materials Engineering - Sri Lanka Institute of Information Technology(SLIIT),
